Title,Author,Quote,Remarks,Favorite
Find Me,André Aciman,"You know, life is not so original after all. It has uncanny ways of reminding us that, even without a God, there is a flash of retrospective brilliance in the way fate plays its cards. It doesn't deal us fifty-two cards; it deals, say, four or five, and they happen to be the same ones our parents and grandparents and great-grandparents played. The cards look pretty frayed and bent. The choice of sequences is limited: at some point the cards will repeat themselves, seldom in the same order, but always in a pattern that seems uncannily familiar. Sometimes the last card is not even played by the one whose life ended. Fate doesn't always respect what we believe is the end of a life. It will deal your last card to those who come after. Which is why I think all lives are condemned to remain unfinished. This is the deplorable truth we all live with. We reach the end and are by no means done with life, not by a long stretch! There are projects we barely started, matters unresolved and left hanging everywhere. Living means dying with regrets stuck in your craw. As the French poet says, Le temps d'apprendre à vivre il est déjà trop tard, by the time we learn to live, it's already too late. And yet there must be some small joy in finding that we are each put in a position to complete the lives of others, to close the ledger they left open and play their last card for them. What could be more gratifying than to know that it will always be up to someone else to complete and round off our life? Someone whom we loved and who loves us enough.",,No
Find Me,André Aciman,"The libido accepts all currencies, and vicarious pleasures have an over-the-counter exchange rate that is considered reliable enough to pass for real. No one ever went bankrupt borrowing someone else's pleasure. We go bankrupt only when we want no one.",,No
Find Me,André Aciman,And some of our fondest desires end up meaning more to us unrealized than tested — don't you think?,,No
Find Me,André Aciman,"Or perhaps what he might have meant was this: If the music doesn't change you, dear friend, it should at least remind you of something profoundly yours that you've probably lost track of but that actually never went away and still answers when beckoned by the right notes, like a spirit gently roused from a prolonged slumber with the right touch of a finger and the right silence between the notes.",,No
Find Me,André Aciman,"<p>Music doesn't give you answers to questions I don't know how to ask. It doesn't tell me what I want. It reminds me that I may still be in love, though I'm no longer sure I know what that means, being in love. I think about people all the time, yet I've hurt many more than I've cared for. I can't even tell what I feel, though feel something I still do, even if it's more like a sense of absence and loss, maybe even failure, numbness, or total unknowing. I was sure of myself once, I thought I knew things, knew myself, and people loved that I reached out to them when I blustered into their lives and didn't even ask or doubt that I mightn't be welcome. Music reminds me of what my life should have been. But it doesn't change me.</p><p>Perhaps, says the genius, music doesn't change us that much, nor does great art change us. Instead it reminds us of who, despite all our claims or denials, we've always known we were and are destined to remain. It reminds us of the mileposts that we've buried and hidden and then lost, of the people and things that mattered despite our lies, despite the years. Music is no more than the sound of our regrets put to a cadence that stirs the illusion of pleasure and hope. It's the surest reminder that we're here for a very short while and that we've neglected or cheated or, worse yet, failed to live our lives. Music is the unlived life. You've lived the wrong life, my friend, and almost defaced the one you were given to live.</p>",,No
Demian,Herman Hesse,"I carried shadows along with me that were unknown to the world of my home. I had had plenty of secrets in the past, and plenty of anxiety, but that was all a game and a joke in comparison with what I was carrying with me into these rooms today. Fate was hounding me, hands were reaching out at me from which my mother couldn't protect me, of which she shouldn't even learn.",,No
Demian,Herman Hesse,"They said that fellows with that mark were weird, and so they were. People with courage and character always seem weird to other people. It was very uncomfortable to have a race of fearless, weird people running around, so now they hung a nickname on that race and made up a story about it in order to take revenge on it, in order to be compensated to some extent for all the fear they had undergone.",,No
Demian,Herman Hesse,I lived in those dreams — I was always a heavy dreamer — more than in real life; those shadows consumed my strength and life.,,No
Demian,Herman Hesse,"There are things you're afraid of; there are also people you're afraid of. And there should never be any. No, no one should ever be afraid of people.",,No
Demian,Herman Hesse,"Oh, I know it today: nothing in the world is more repugnant to a man than following the path that leads him to himself!",,No
Demian,Herman Hesse,"The insight that my problem was a problem of all mankind, a problem of all life and thought, suddenly passed over me like a sacred shadow; and fear and reverence overpowered me when I saw and suddenly felt how profoundly my very own personal life and opinions shared in the eternal stream of great ideas. The insight was not joyous, even though it somehow made me happy by confirming my opinions. It was tough and tasted raw, because it contained a note of responsibility, of the necessity to cease being a child and to stand on my own feet.",,Yes
Demian,Herman Hesse,"I see that you think more than you can express. But, if that's the case, you must also know that you have never fully lived out your thoughts, and that isn't good. Only the thoughts that we live out have any value.",,No
Demian,Herman Hesse,"Therefore each of us must discover for himself what is permitted and what is forbidden — forbidden to him. It's possible for someone never to do any forbidden thing, and yet be a scoundrel. And vice versa. — Actually, it's merely a question of convenience! Whoever is too comfort-loving to do his own thinking and be his own judge simply adapts to the pre-existing negative commandments. It's easy for him. Others feel commandments of their own within themselves; for them things aren't forbidden which every respectable man does daily, and other things are permissible for them which are normally tabooed. Everyone must stand on his own feet.",,No
Demian,Herman Hesse,"""We're talking too much,"" he said with unaccustomed gravity. ""Smart talk has no value, none at all. It just leads you away from yourself. To depart from yourself is a sin. A person must be able to crawl away into himself completely, like a turtle.""",,No
Demian,Herman Hesse,"But, despite everything, it was almost a pleasure to suffer those torments. I had crawled through life blindly and dully for so long, my heart had kept silent and had sat, impoverished, in a corner for so long, that even these self-accusations, this horror, this whole ghastly emotion in my soul was welcome. After all, it <em>was</em> an emotion, flames were still rising, it showed that my heart was still alive! In a confused way, in the midst of my misery I felt something like liberation and springtime.",,Yes
Demian,Herman Hesse,"And while I was sitting among pools of beer at dirty tables in cheap taverns, entertaining and often frightening my friends with unusually cynical remarks, deep in my heart I revered everything I was mocking, and in my mind I was weeping on my knees before my soul, my past, my mother, and God.",,No
Demian,Herman Hesse,"I did what I had to do, because otherwise I simply had no idea what to do with myself. I was afraid of being alone for long periods; I stood in fear of the numerous tender, shy, warm impulses toward which I constantly felt responsive; I stood in fear of the tender thoughts of love that came to me so frequently.",,No
Demian,Herman Hesse,"But now I had something to love and adore, I once again had an ideal; life was once again filled with presentiments and a mysterious, variegated twilight glow. And that made me insensitive to scorn. Once more I felt at home with myself, although only as a slave and servant of a venerated image.",,No
Demian,Herman Hesse,All I really wanted was to try and live the life that was spontaneously welling up within me. Why was that so very difficult?,,No
Demian,Herman Hesse,"But none of these dreams, none of these thoughts obeyed me; I couldn't summon any of them, I couldn't lend color to any of them at will. They came and took me over; I was governed by them, they lived my life.",,No
Demian,Herman Hesse,"I like music very much, I think, because it's so unconcerned with morality. Everything else is moralistic, and I'm looking for something that isn't.",,No
Demian,Herman Hesse,"The contemplation of such shapes, the surrender to irrational, confused, rare natural forms, engenders in us a feeling that our own mind is in harmony with the will that gave rise to these forms — we soon feel the temptation to look on them as our own caprices, as our own creations —  we see the borderline between us and nature tremble and dissolve, and we become acquainted with the mood in which we don't know whether the images on our retina are coming from external impressions or from within us. In no other way than through this practice do we discover so simply and easily how very creative we are, how much our soul always participates in the perpetual creation of the world.",,No
Demian,Herman Hesse,"We always limit our personality much too narrowly! We always count as pertaining to our person only what we recognize as individual differences that set us apart. But we're comprised of everything that comprises the world, each of us, and just as our body bears within it the lines of evolutionary descent all the way back to the fish and even much farther beyond that, in the same way our soul contains everything that has ever dwelt in human souls.",,No
Demian,Herman Hesse,There's a big difference between merely carrying the world inside you and knowing that you do!,,No
Demian,Herman Hesse,"Now, each one of them has the potentiality of becoming a human being, but only when he senses that potential, when he even learns to be conscious of it to some degree, does that potential belong to him.",,No
Demian,Herman Hesse,Among all my dreams that obscure dream of love was the most loyal.,,No
Demian,Herman Hesse,"When we hate a person, what we hate in his image is something inside ourselves. Whatever isn't inside us can't excite us.",,No
Demian,Herman Hesse,"And we're not pigs, as you think. We're human beings. We create gods and fight with them, and they bless us.",,No
Demian,Herman Hesse,"But in situations where we have made the gift of our love and veneration, not out of long familiarity but out of our most personal impulses; where we have been disciples and friends from the depth of our heart — in such cases it's a bitter and frightening moment when we suddenly seem to realize that the principal current within us is determined to carry us away from the person we love.",,No
Demian,Herman Hesse,"He had never heard me talk like that, and at the very moment I myself realized in a flash with shame and fright that the arrow I had shot at him, striking him to the heart, had been taken from his own arsenal — that I had now maliciously hurled at him in a more pointed form his own self-reproaches, which I had occasionally heard him utter ironically.",,No
Demian,Herman Hesse,"I had often played with images of the future, I had dreamt of roles that might be meant for me, as a poet, perhaps, or as a prophet, or as a painter, or whatever else. That was all meaningless. I didn't exist to write poetry, to preach sermons, to paint pictures; neither I nor anyone else existed for that purpose. All of that merely happened to a person along the way. Everyone had only one true vocation: to find himself.",,No
Demian,Herman Hesse,"""No one ever arrives home,"" she said amiably. ""But when the paths of friends meet, the whole world looks like home for a while.""",,No
Demian,Herman Hesse,"It's always difficult to be born. As you know, the bird must make an effort to break out of the egg. Think back and ask: Was the path really that difficult? Merely difficult? Wasn't it also beautiful? Could you have thought of a more beautiful or easier one?",,No
Demian,Herman Hesse,"""Love ought not to make requests,"" she said, ""but shouldn't make demands, either. Love must have the strength to reach certainty for itself. Then it no longer undergoes the power of attraction, but exerts it.""",,No
Demian,Herman Hesse,"He had loved and, by doing so, had found himself. But most people love in order to lose themselves.",,No
The Man Who Couldn't Stop,David Adam,"It is another vicious cycle: memory uncertainty provokes the need to check, and to check increases memory uncertainty.",,No
The Man Who Couldn't Stop,David Adam,"If a person feels responsible for an event that they judge as personally relevant, they will experience increases in related intrusive thoughts.",,No
Commonwealth,Ann Patchett,The death of a child trumped infidelity. The death of a child trumped everything.,,No
Commonwealth,Ann Patchett,It turns out a novel isn't the worst place to hide things.,,No
Commonwealth,Ann Patchett,"All the stories go with you, Franny thought, closing her eyes. All the things I didn't listen to, won't remember, never got right, wasn't around for.",,No
Commonwealth,Ann Patchett,"""He turned out to be a worrier,"" Teresa said. She was trying not to pant. ""It's strange, when you think about all the worry he caused us, that he would turn around and worry.""",,No
Commonwealth,Ann Patchett,There's no protecting anyone. Keeping people safe is a story we tell ourselves.,,No
Commonwealth,Ann Patchett,"For the vast majority of the people on this planet, the thing that's going to kill them is already on the inside.",,No
The Sparsholt Affair,Alan Hollinghurst,"It is hard to do justice to old pleasures that cannot be revived - we seem half to disown our youthful selves, who loved and treasured them.",,No
The Sparsholt Affair,Alan Hollinghurst,"[A] man of fanatical habits, who worked each day from eight till four, seen by no one but Herta with her lunch tray; who had, like Brahms or Balzac, a coffee-making device and dosed himself into a mania of production, but then emerged and moved, full of remote benignity, among his family; whose children, even so, lived so much in fear of saying the wrong thing that they barely said anything to him at all.",,No
The Sparsholt Affair,Alan Hollinghurst,"Of course sometimes, with the very private ones, you go to the funeral and find the most astonishing people - they'd just compartmentalized their lives, and you had no idea.",,No
The Sparsholt Affair,Alan Hollinghurst,"Each person if he was lucky found the place where he could shine, and the person to shine on.",,No
The Sparsholt Affair,Alan Hollinghurst,"A man older than himself whom Johnny had sat next to at dinner last week had told him dating apps were tickets to instant sex, and had shown him two that he used, scores of men a mere hundred yards away, always ready. ""Not for me,"" said Johnny; and three days later found himself downloading one, which meant inescapably setting up a profile, a sort of self-portrait — his old holiday snap had its undertow of lost happiness, and he sighed as he tried to define what his interests were.",,No
The Elephant Vanishes,Haruki Murakami,"“People like Aoki don't scare me. They're all over the place, but I don't trouble myself with them anymore. When I run into them, I don't get involved. I see them coming and I head the other way. I can spot them in an instant. But at the same time, I’ve got to admire the Aokis of this world. Their ability to lay low until the right moment, their knack for latching on to opportunities, their skill in fucking with people’s minds—that’s no ordinary talent. I hate their kind so much it makes me want to puke, but it is a talent.
“No, what really scares me is how easily, how uncritically, people will believe the crap that slime like Aoki deal out. How these Aoki types produce nothing themselves, don’t have an idea in the world, and talk so nice, how this slime can sway gullible types to any opinion and get them to perform on cue, as a group. And this group never entertains even a sliver of doubt that they could be wrong. They think nothing of hurting someone, senselessly, permanently. They don’t take any responsibility for their actions. Them. They’re the real monsters.
They’re the ones I have nightmares about. In those dreams, there’s only the silence. And these faceless people. Their silence seeps into everything like ice water. And then it all goes murky. And I’m dissolving and I’m screaming, but no one hears.”",The Silence,No
A Song of Ice and Fire #2: Clash of Kings,George R.R. Martin,"A good act does not wash out the bad, nor a bad act the good. Each should have its own reward.",,No
A Song of Ice and Fire #3: A Storm of Swords,George R.R. Martin,"Any act can be a prayer, if done as well as we are able.",,No
A Song of Ice and Fire #4: A Feast For Crows,George R.R. Martin,"History is a wheel, for the nature of man is fundamentally unchanging. ",,No
A Song of Ice and Fire #5: A Dance With Dragons,George R.R. Martin,In the end a gentle heart may be worth more than pride or valor.,,No
A Song of Ice and Fire #5: A Dance With Dragons,George R.R. Martin,"It is an easy thing for a prince to call the spears, but in the end the children pay the price. For their sake, the wise prince will wage no war without good cause, nor any war he cannot hope to win.",,No
A Song of Ice and Fire #5: A Dance With Dragons,George R.R. Martin,"So long as men remember the wrongs done to their forebears, no peace will ever last.",,No
Fahrenheit 451,Ray Bradbury,How do you get so empty? Who takes it out of you?,,No
Fahrenheit 451,Ray Bradbury,"Let you alone! That’s all very well, but how can I leave myself alone? We need not be alone. We need to be really bothered once in a while. How long is it since you were really bothered? About something important, about something real?",,No
Fahrenheit 451,Ray Bradbury,"1. quality of information
2. leisure to digest it
3. the right to carry out actions based on what we learn from the interaction of the first two",,No
Fahrenheit 451,Ray Bradbury,"Do your own bit of saving, and if you drown, at least die knowing you were headed for shore.",,No
Fahrenheit 451,Ray Bradbury,I don’t want to change sides and just be told what to do. There’s no reason to change if I do that.,,No
Fahrenheit 451,Ray Bradbury,"The folly of mistaking a metaphor for a proof, a torrent of verbiage for a spring of capital truths, and a oneself as an oracle, is inborn in us.",Paul Valéry,No
Bleeding Edge,Thomas Pynchon,"""OK, first of all maybe this is a fake, or a setup. Pretend I'm the Washington Post, OK?""
""Sure."" Maxine reaches toward March's face and begins to make page-turning motions.",,No
Bleeding Edge,Thomas Pynchon,"But history goes on, as you always like to remind us. The Cold War ended, right? the Internet kept evolving, away from military, into civilian — nowadays it's chat rooms, the World Wide Web, shopping online, the worst you can say is it's maybe getting a little commercialized. And look how it's empowering all these billions of people, the promise, the freedom.",,No
Pachinko,Min Jin Lee,Neither had realized the loneliness each had lived with for such a long time until the loneliness was interrupted by genuine affection.,,No
10:04,Ben Lerner,"Some say the glowing spheres near Route 67
are paranormal, others dismiss them as
atmospheric tricks: static, swamp gas, reflections
of headlights and small fires, but why dismiss
what misapprehension can establish, our own
illumination returned to us as alien, as sign?
They've built a concrete viewing platform
lit by low red lights which must appear
mysterious when seen from what it overlooks.
Tonight I see no spheres, but project myself
and then gaze back, an important trick because
the goal is to be on both sides of the poem,
shuttling between the you and I.",,No
Conversations With Friends,Sally Rooney,I isolated myself from criticism so I could behave badly without losing my sense of righteousness.,,No
Conversations With Friends,Sally Rooney,I told him that Melissa thought he was ‘pathologically submissive’ and he said it would be a mistake to assume that meant he was powerless in relationships with women. He told me he thought helplessness was often a way of exercising power.,,No
Conversations With Friends,Sally Rooney,To love someone under capitalism you have to love everyone.,,No
Conversations With Friends,Sally Rooney,"Of course it’s really about power, Bobbi agreed. But it’s harder to work out who has the power, so instead we rely on ‘niceness’ as a kind of stand-in. I mean this is an issue in public discourse. We end up asking like, is Israel ‘nicer’ than Palestine.",,No
Hit Refresh,Satya Nadella,The first principle is to compete vigorously and with passion in the face of uncertainty and intimidation.,,No
Hit Refresh,Satya Nadella,The key is to not have the top leaders infuse fear or panic but to help foster the actions that fix the issue at hand and the learning from it.,,No
Hit Refresh,Satya Nadella,"With a growth mindset, <em>yet</em> is an important clarification.",,No
Hit Refresh,Satya Nadella,"Based on this analysis, Comin agrees that differences between rich and poor nations can largely be explained by the speed at which they adopted industrial technologies. But equally important, he says, is the <em>intensity</em> they employ in putting new technologies to work. Even when countries that were slow to adopt new technologies eventually catch up, it’s the intensity of how they use the technology — not simply the access — that creates economic opportunity.",,No
Exhalation: Stories,Ted Chiang,"Will it be preferable to remain mute to prolong our ability to think, or to talk until the very end?",Exhalation,No
Exhalation: Stories,Ted Chiang,"The buildings we have erected, the art and music and verse we have composed, the very lives we’ve led: none of them could have been predicted, because none of them was inevitable. Our universe might have slid into equilibrium emitting nothing more than a quiet hiss. The fact that it spawned such plenitude is a miracle, one that is matched only by your universe giving rise to you.",Exhalation,No
Exhalation: Stories,Ted Chiang,"Low expectations are a self-fulfilling prophecy. If we aim high, we’ll get better results.",The Lifecycle Of Software Objects,No
Exhalation: Stories,Ted Chiang,"People are made of stories. Our memories are not the impartial accumulation of every second we’ve lived; they’re the narrative that we assembled out of selected moments. Which is why, even when we’ve experienced the same events as other individuals, we never constructed identical narratives: the criteria used for selecting moments were different for each of us, and a reflection of our personalities. Each of us noticed the details that caught our attention and remembered what was important to us, and the narratives we built shaped our personalities in turn.","The Truth Of Fact, The Truth Of Feeling",No
Exhalation: Stories,Ted Chiang,It’s hard to make sense of behavior that’s so different from your own.,The Great Silence,No
Exhalation: Stories,Ted Chiang,"You’re prepared to take responsibility for what you did, aren’t you? Well, so am I. That’s what society needs us to do, not to follow rules without thinking.",Omphalos,No
Exhalation: Stories,Ted Chiang,"I wish this didn’t affect me so deeply. Would that we could choose the things that trouble us, but we can’t.",Omphalos,No
Exhalation: Stories,Ted Chiang,"I feel good about what I did, but it’s not like I deserve a medal or anything. Because there are other people for whom being generous comes easily, without a struggle. And it’s easy for them because in the past they made a lot of little decisions to be generous. It was hard for me because I’ve made a lot of little decisions to be selfish in the past. So I’m the reason it’s hard for me to be generous. That’s something I need to fix. Or that I want to fix.",Anxiety Is The Dizziness Of Freedom,No
Waste Tide,Chen Quifan,All history is contemporary history.,,No
Waste Tide,Chen Quifan,"The greatest hope cherished by the people of Silicon Isle is to see their children leave this place, the farther the better. We’re old and can’t shift from our familiar nests, but the young are different. They’re blank sheets of paper, full of potential for new pictures.",,No
Waste Tide,Chen Quifan,"Yes, you should go. That’s your homeland. But remember: don’t get too close. You’ll see more clearly that way.",,No
Waste Tide,Chen Quifan,Experience determines how far one can go in life.,,No
Waste Tide,Chen Quifan,"But she had never imagined that her mind possessed such power to organize scattered bits of information and weave them, like silk strands extracted from disparate cocoons, into a coherent picture.",,No
Waste Tide,Chen Quifan,"Technology addicts indulging in overdoses of dopamine have destroyed their synaptic connections and become ill with moral failings. In one experiment, the test subjects had to choose between saving a ship full of passengers by tossing a heavily wounded individual overboard, or doing nothing. All those with damaged moral-emotive brain regions chose to kill in order to save, while the normal subjects chose to do nothing. The diseased think of life as some zero-sum game in which there must be winners and losers, even at the expense of the interest of others, including their lives. This is a planetwide plague.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"I am writing because they told me to never start a sentence with <em>because</em>. But I wasn’t trying to make a sentence — I was trying to break free. Because freedom, I am told, is nothing but the distance between the hunter and its prey.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"Each departure, then, is final. Only their children return; only the future revisits the past.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"To love something, then, is to name it after something so worthless it might be left untouched — and alive. A name, as thin as air, can also be a shield.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong," Because gunshots, lies, and oxtail — or whatever you want to call your god — should say <em>Yes</em> over and over, in cycles, in spirals, with no other reason but to hear itself exist. Because love, at its best, repeats itself. Shouldn’t it?",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,Everything good is always somewhere else.,,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,Sometimes you are erased before you are given the choice of stating who you are.,,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"Ma. You once told me that memory is a choice. But if you were god, you’d know it’s a flood.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"What I felt then, however, was not desire, but the coiled charge of its possibility, a feeling that emitted, it seemed, its own gravity, holding me in place. The way he watched me back there in the field, when we worked briefly, side by side, our arms brushing against each other as the plants racked themselves in a green blur before me, his eyes lingering, then flitting away when I caught them. I was seen — I who had seldom been seen by anyone.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,Cause you never see yourself if you’re the sun. You don’t even know where you are in the sky.,,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"What if the body, at its best, is only a <em>longing</em> for body? The blood racing to the heart only to be sent back out, filling the routes, the once empty channels, the miles it takes to take us toward each other. Why did I feel more myself while reaching for him, my hand midair, than I did having touched him?",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"Because submission, I soon learned, was also a kind of power. To be inside of pleasure, Trevor needed me. I had a choice, a craft, whether he ascends or falls depends on my willingness to make room for him, for you cannot rise without having something to rise over. Submission does not require elevation in order to control. I lower myself.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"I had thought sex was to breach new ground, despite terror, that as long as the world did not see us, its rules did not apply. But I was wrong. The rules, they were already inside us.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"Do you remember the happiest day of your life? What about the saddest? Do you ever wonder if sadness and happiness can be combined, to make a deep purple feeling, not good, not bad, but remarkable simply because you didn’t have to live on one side or the other?",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,Because that’s what mothers do. They wait. They stand still until their children belong to someone else.,,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"Even when the man stopped, walked over to the dog wagging its tail, and placed the treat in the dog’s open mouth, proving again that it was hunger, only hunger, not music that gave the dog its human skill, I still believed it. That anything could happen.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"Maybe we look into mirrors not merely to seek beauty, regardless how illusive, but to make sure, despite the facts, that we are still here. That the hunted body we move in has not yet been annihilated, scraped out. To see yourself still <em>yourself</em> is a refuge men who have not been denied cannot know.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"<em>Into</em> — yes, that’s more like it. As in, <em>Now I’m broken into<em>.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"It's in these moments, next to you, that I envy words for doing what we can never do — how they can tell of themselves simply by standing still, simply by <em>being</em>.",,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,They say nothing lasts forever but they’re just scared it will last longer than they can love it.,,No
On Earth We’re Briefly Gorgeous,Ocean Vuong,"The thing is, I don’t want my sadness to be othered from me just as I don’t want my happiness to be othered. They’re both mine. I made them, dammit.",,No
