"Your Kindle Notes For:",,,
"THE ELEPHANT IN THE BRAIN: HIDDEN MOTIVES IN EVERYDAY LIFE",,,
"by Kevin Simler, Robin Hanson",,,
"Free Kindle instant preview:",,,
"https://a.co/ggRrQok",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 2459","","The sparks of laughter illuminate what is otherwise murky and hard to pin down with precision: the threshold between safety and danger, between what’s appropriate and what’s transgressive, between who does and doesn’t deserve our empathy. In fact, what laughter illustrates is precisely the fact that our norms and other social boundaries aren’t etched in stone with black-and-white precision, but ebb and shift through shades of gray, depending on context."
"Highlight (Yellow)","Location 2537","","In order to have interesting things to say during a conversation, we need to spend a lot of time and energy foraging for information before the conversation."
"Highlight (Yellow)","Location 2640","","Conversation, therefore, looks on the surface like an exercise in sharing information, but subtextually, it’s a way for speakers to show off their wit, perception, status, and intelligence, and (at the same time) for listeners to find speakers they want to team up with. These are two of our biggest hidden motives in conversation."
"Highlight (Yellow)","Location 2671","","listeners generally prefer speakers who can impress them wherever a conversation happens to lead, rather than speakers who steer conversations to specific topics where they already know what to say."
"Highlight (Yellow)","Location 2777","","there’s likely more insight to be gleaned where others aren’t looking—it just won’t seem as relevant to the current conversation."
"Highlight (Yellow)","Location 2828","","No matter how fast the economy grows, there remains a limited supply of sex and social status—and earning and spending money is still a good way to compete for it."
"Highlight (Yellow)","Location 2893","","The fact that we often discuss our purchases also explains how we’re able to use services and experiences, in addition to material goods, to advertise our desirable qualities."
"Highlight (Yellow)","Location 2962","","Today there’s a stigma to wearing uniforms, in part because it suppresses our individuality. But the very concept of “individuality” is just signaling by another name.20 The main reason we like wearing unique clothes is to differentiate and distinguish ourselves from our peers."
"Highlight (Yellow)","Location 3100","","One reason to target non-buyers is to create envy."
"Highlight (Yellow)","Location 3112","","by creating associations that exist out in the broader culture—not just in our own heads, but in the heads of third parties—ads turn products into a vocabulary that we use to express ourselves and signal our good traits."
"Highlight (Yellow)","Location 3263","","it’s often the extrinsic properties that make the difference between art that’s impressive, and which therefore succeeds for both artist and consumer, and art that falls flat."
"Highlight (Yellow)","Location 3314","","We enjoy art not in spite of the constraints that artists hold themselves to, but because those constraints allow their talents to shine."
"Highlight (Yellow)","Location 3391","","It’s only by doing something that serves no concrete survival function that artists are able to advertise their survival surplus."
"Highlight (Yellow)","Location 3420","","discernment becomes important not only for differentiating high quality from low quality (and good artists from mediocre ones), but also as a fitness display unto itself."
"Highlight (Yellow)","Location 3532","","When we analyze donation as an economic activity, it soon becomes clear how little we seem to care about the impact of our donations. Whatever we’re doing, we aren’t trying to maximize ROD."
"Highlight (Yellow)","Location 3557","","What might we be trying to accomplish with our generosity, if not helping others as efficiently as possible?"
"Highlight (Yellow)","Location 3607","","very few people give more than they’ll be recognized for."
"Highlight (Yellow)","Location 3626","","we typically prefer to initiate purchases ourselves in anonymous markets."
"Highlight (Yellow)","Location 3714","","Those who are struggling to survive don’t make ideal allies."
"Highlight (Yellow)","Location 3722","","We want leaders who look out for their immediate communities, rather than people who need help in far-off places. In a sense, we want them to be parochial."
"Highlight (Yellow)","Location 3751","","Sensing that emoters, rather than calculators, are generally preferred as allies, our brains are keen to advertise that we are emoters."
"Highlight (Yellow)","Location 3914","","educated workers are generally better workers, but not necessarily because school made them better. Instead, a lot of the value of education lies in giving students a chance to advertise the attractive qualities they already have."
"Highlight (Yellow)","Location 4038","","teachers reward discipline independent of its influence on learning, and in ways that tamp down on student creativity."
"Highlight (Yellow)","Location 4059","","While most fifth graders are strict egalitarians, and prefer to divide things up equally, by late adolescence, most children have switched to a more meritocratic ethos, preferring to divide things up in proportion to individual achievements."
"Highlight (Yellow)","Location 4134","","Your illness showed everyone your true standing in the camp."
"Highlight (Yellow)","Location 4183","","The point here is that whenever we fail to uphold the (perceived) highest standards for medical treatment, we risk becoming the subject of unwanted gossip and even open condemnation. Our seemingly “personal” medical decisions are, in fact, quite public and even political."
"Highlight (Yellow)","Location 4628","","Your lifestyle interferes with theirs (and vice versa), and avoiding such tensions is largely why we self-segregate into communities in the first place.
"Highlight (Yellow)","Location 4668","","by attending a sermon, you’re learning not just what “God” or the preacher thinks, but also what the rest of your congregation is willing to accept."
"Highlight (Yellow)","Location 4873","","we seem to prefer high-minded rhetoric over humble pragmatism."
"Highlight (Yellow)","Location 4886","","Most of us live quite happily in our political echo chambers, returning again and again to news sources that support what we already believe. When contrary opinions occasionally manage to filter through, we’re extremely critical of them, although we’re often willing to swallow even the most specious evidence that confirms our views. And we’re more likely to engage in political shouting matches, full of self-righteous confidence, than to listen with the humility that we may (gasp!) be wrong."
"Highlight (Yellow)","Location 4944","","This is the key to making sense of our political behavior. It’s not just an attempt to influence outcomes; it’s also, in many ways, a performance."
"Highlight (Yellow)","Location 4975","","when we’re socialized from birth into a politically homogenous community—we might find it all but impossible to notice these social influences on our beliefs. Our political views will simply seem right, natural, and true."
"Highlight (Yellow)","Location 5057","","The fact that we use political beliefs to express loyalty, rather than to take action, also explains why we’re emotionally attached to our beliefs, and why political discussions often generate more heat than light. When our beliefs are anchored not to reasons and evidence, but to social factors we don’t share with our conversation partners (like loyalty to different political groups46), disagreement is all but inevitable, and our arguments fall on deaf ears. We may try to point out one another’s hypocrisy, but that’s not exactly a recipe for winning hearts and minds."
"Highlight (Yellow)","Location 5165","","The next time you butt heads with a coworker or fight with your spouse, keep in mind that both sides are self-deceived, at least a little bit. What feels, to each of you, overwhelmingly “right” and undeniably “true” is often suspiciously self-serving, and if nothing else, it can be useful to take a step back and reflect on your brain’s willingness to distort things for your benefit. There’s common ground in almost every conflict, though it may take a little digging to unearth it beneath all the bullshit."
"Highlight (Yellow)","Location 5242","","if we profess high ideals but then fail to live up to them, that may make us hypocrites. But the alternative—having no ideals—seems worse. “Hypocrisy,” writes La Rochefoucauld, “is the tribute that vice pays to virtue.” In other words, it’s taxing to be a hypocrite, but that very tax is a key disincentive to bad behavior."
"Highlight (Yellow)","Location 5290","","It is a wonderful quirk of our species that the incentives of social life don’t reward strictly ruthless behavior."
